"(6.413702876944962, 50.323279738067505)"
"(6.41851068203589, 50.32745259031897)"
"(6.9162991773288125, 51.504053033775975)"
"(6.916530341927297, 51.503765250862074)"
"(6.917917309080229, 51.50318968503427)"
"(6.918148470759003, 51.50318968503427)"
"(6.937670216540325, 51.50016796443841)"
"(6.938132498297405, 51.49973629006756)"
"(6.939057061811841, 51.49944850715366)"
"(6.939981623137101, 51.49930461569671)"
"(6.906759192368342, 51.50189466192177)"
"(6.907452657697678, 51.50189466192177)"
"(6.907914967917235, 51.50189466192177)"
"(6.908146123027014, 51.50189466192177)"
"(6.908377262079986, 51.501606879007866)"
"(6.905834571929227, 51.501175204637015)"
"(6.907914928505729, 51.501031313180064)"
"(6.964085440636901, 51.501175204637015)"
"(6.963854281148246, 51.501031313180064)"
"(6.964085431878968, 51.501031313180064)"
"(6.963623123119308, 51.500887421723114)"
"(6.963854273120209, 51.500887421723114)"
"(6.96408542312111, 51.500887421723114)"
"(6.948996205339894, 51.498729049868906)"
"(6.935422355914874, 51.50232633629262)"
"(6.93657809497066, 51.501606879007866)"
"(6.936809248620729, 51.501606879007866)"
"(6.936578085482668, 51.501462987550916)"
"(6.936809238402891, 51.501462987550916)"
"(6.936578066506915, 51.501175204637015)"
"(6.936809217967466, 51.501175204637015)"
"(6.936578057019155, 51.501031313180064)"
"(6.936809207749877, 51.501031313180064)"
"(6.936578047531475, 51.500887421723114)"
"(6.936809197532376, 51.500887421723114)"
"(6.949753955205574, 51.50275801066347)"
"(6.949060456301623, 51.50218244483567)"
"(6.950216230390745, 51.50203855337872)"
"(6.949060410321337, 51.500887421723114)"
"(6.932521608352237, 51.49700235238555)"
"(6.944501354696597, 51.50462859960378)"
"(6.947044203967511, 51.504484708146826)"
"(6.945361984033293, 51.50218244483567)"
"(6.945593140602806, 51.50218244483567)"
"(6.944668503376884, 51.501462987550916)"
"(6.945593109948897, 51.501319096093965)"
"(6.9514363116295455, 51.504340816689876)"
"(6.953285586081567, 51.50304579357732)"
"(6.953516747030428, 51.50304579357732)"
"(6.951898617468779, 51.50290190212037)"
"(6.953285578782508, 51.50290190212037)"
